user;document;corpus;paragraph;system_relevance;perceived_relevance;system_relevance_type;f_average_fixation_duration;f_average_forward_saccades_length;f_regression_ratio;f_thorough_reading_ratio;f_coherently_read_text_length
A07;g-rel_q075-1;g-rel;0;False;False;i;0.28177738326560864;137.94702319953095;0.0;1.0;12193.678887713222
A07;g-rel_q085-2;g-rel;0;False;False;i;0.26190613457367284;161.06543258584696;0.0;1.0;4608.915289035134
A07;g-rel_q097-2;g-rel;0;False;False;t;0.3166068744889044;166.56402229571904;0.0;0.9264063489179657;8236.95879174128
A07;g-rel_q094-2;g-rel;0;False;False;t;0.2826982293673889;165.03636281725667;0.0;0.7253976172652838;5453.671430270174
A07;g-rel_q134-3;g-rel;0;False;False;t;0.2838673473288253;157.0459533441144;0.0;0.9426028226761068;17160.638750564107
A07;g-rel_q088-1;g-rel;0;False;False;t;0.2686633189123454;173.6981701744912;0.0;0.8768953760001652;6808.294181722253
A07;g-rel_q116-1;g-rel;0;True;True;r;0.25514937737629473;197.0292141473657;0.0;1.0;2801.882188552515
A08;g-rel_q075-1;g-rel;0;False;False;i;0.29430904201772784;185.35833853111455;0.0;0.5364555645075784;5227.039800214772
A08;g-rel_q118-1;g-rel;0;True;True;r;0.2769527062958537;162.97696913121482;0.0;1.0;6734.9034679784645
A08;g-rel_q097-2;g-rel;0;False;False;t;0.3064260245590109;178.06184778800716;0.0;0.8798225925939028;10117.844022087645
A08;g-rel_q103-1;g-rel;0;False;False;i;0.2698800227580927;160.20398776803626;0.0;0.808535986753759;3570.637790152321
A08;g-rel_q116-1;g-rel;0;True;True;r;0.32865576078548175;191.9952218555153;0.0;0.42099841933179866;2898.072305221413
A08;g-rel_q085-2;g-rel;0;False;False;i;0.35923431548434687;159.63002179544677;0.0;0.7450594212067874;8950.803933920106
A08;g-rel_q134-3;g-rel;0;False;False;t;0.3063914583518853;167.8891671350178;0.0;0.68544528948183;4144.901320457635
A08;g-rel_q088-1;g-rel;0;False;False;t;0.2935944096459616;172.56969850561836;0.0;0.8077836040415824;4505.554492449764
A08;g-rel_q076-1;g-rel;0;True;False;r;0.2941670982684178;175.18637032696685;0.0;0.8130632874578299;12020.796913270817
A08;g-rel_q094-2;g-rel;0;False;True;t;0.3030410144366741;175.04702967298581;0.0;0.5741637429657427;3939.7114079069006
A08;g-rel_q122-2;g-rel;0;False;False;i;0.2773969861735006;184.06179337193427;0.0;0.6217878366804677;5934.788470103002
A08;g-rel_q128-1;g-rel;0;True;True;r;0.2512757693221741;175.7510970808521;0.0;0.9062348244420075;6919.425138931538
A09;g-rel_q076-1;g-rel;0;True;False;r;0.2812163876674207;186.55053340015664;0.0;0.6764189150979112;4603.261587755267
A09;g-rel_q075-1;g-rel;0;False;False;i;0.2690882095034944;196.72529609678455;0.0;1.0;2435.423319678774
A09;g-rel_q085-2;g-rel;0;False;False;i;0.26852783090001126;226.1616817055836;0.0;0.0;0.0
A09;g-rel_q128-1;g-rel;0;True;True;r;0.3087144199106065;183.83673257246062;0.0;0.9436635228328321;11885.130016054902
A09;g-rel_q116-1;g-rel;0;True;True;r;0.34623864349664446;196.56239882924726;0.0;0.779155269411468;5052.477872100866
A09;g-rel_q122-2;g-rel;0;False;False;i;0.276365080789187;264.29578971660555;0.0;0.14514339234413454;1917.2716266154198
A09;g-rel_q103-1;g-rel;0;False;False;i;0.2773554668707007;221.8628368531252;0.0;0.7071746789002719;2589.1697395863494
A09;g-rel_q094-2;g-rel;0;False;False;t;0.32149906241274295;177.48472918189063;0.0;0.7014061731764689;7383.051942420255
A09;g-rel_q134-3;g-rel;0;False;False;t;0.34735470459584955;181.10976474968507;0.0;0.7823361865545746;8968.55362002422
A09;g-rel_q097-2;g-rel;0;False;False;t;0.32165886850233527;189.36547245477004;0.0;0.8384171241328833;5452.604206638918
A09;g-rel_q118-1;g-rel;0;True;True;r;0.2772310356866745;213.4366894315658;0.0;0.8402537782780188;2733.8861002931953
A09;g-rel_q088-1;g-rel;0;False;False;t;0.28651619582790616;230.01582824307826;0.0;0.0;0.0
A10;g-rel_q075-1;g-rel;0;False;False;i;0.28297046382410995;194.82358108086484;0.0;0.7974732646254192;4291.076348813336
A10;g-rel_q085-2;g-rel;0;False;False;i;0.27515459654858565;189.09775470170624;0.0;0.6999911569506689;11570.110021670731
A10;g-rel_q103-1;g-rel;0;False;False;i;0.2749791159420773;191.04017649677047;0.0;0.5694102019476668;10719.37863385971
A10;g-rel_q097-2;g-rel;0;False;False;t;0.27998537276436314;181.528897066426;0.0;0.8432989205275871;8605.640885398858
A10;g-rel_q116-1;g-rel;0;True;True;r;0.293733651627246;171.6942456648296;0.0;0.9071884931317865;12963.008360060887
A10;g-rel_q076-1;g-rel;0;True;True;r;0.3138414238762015;180.94165141739492;0.0;0.9591773983869473;11530.70740079707
A10;g-rel_q088-1;g-rel;0;False;False;t;0.3174808628733954;183.41427345775082;0.0;0.7930091468893427;8958.90500237425
A10;g-rel_q122-2;g-rel;0;False;False;i;0.29781677309159077;184.63978709603782;0.0;0.701549522978721;5843.5940835600295
A10;g-rel_q118-1;g-rel;0;True;True;r;0.25568958428839594;182.02559886867203;0.0;0.8259405363938674;12517.215270068707
A10;g-rel_q134-3;g-rel;0;False;False;t;0.3251607263785676;183.33955974970647;0.0;0.8032352088264685;7536.445869480269
A10;g-rel_q128-1;g-rel;0;True;True;r;0.2703940749851763;196.1770869513903;0.0;0.6333842260337926;1469.110562077721
A10;g-rel_q094-2;g-rel;0;False;False;t;0.27889079908947195;172.81205073765457;0.0;0.8327386164802428;5689.0760044506915
